Время, сек;Rz_L, Н;Rz_R, Н;Rx, Н
2,05;20200,5;22411,7;650
2,06;20188,1;22448,8;650
2,07;20244,2;22123,2;650
2,08;20243,3;22149,7;650
2,09;20216,6;22463,7;650
2,1;20251;22291,2;650
2,11;20272;22124,8;650
2,12;20278;22281;650
2,13;20258;22319,7;650
2,14;20270,5;22303,1;650
2,15;20279,6;22284,8;650
2,16;20310,2;22276,5;650
2,17;20325,9;22216,2;650
2,18;20327,8;22249,2;650
2,19;20341,4;22217,2;650
2,2;20347,3;22282;650
2,21;20350,8;22234,3;650
2,22;20369;22258;650
2,23;20389,5;22244,4;650
2,24;20405,1;22232,6;650
2,25;20424,7;22201,1;650
2,26;20438,6;22187,6;650
2,27;20458,3;22199,7;650
2,28;20474,1;22168,8;650
2,29;20482,9;22156,7;650
2,3;20501,4;22154;650
2,31;20513,8;22142,8;650
2,32;20524,6;22116,5;650
2,33;20545;22095,4;650
2,34;20556,8;22080,8;650
2,35;20579,8;22091,5;650
2,36;20601,1;22094,5;650
2,37;20611,2;22073,6;650
2,38;20641,7;22036,4;650
2,39;20651,4;21990,7;650
2,4;20673,9;21980,9;650
2,41;20701,5;21953,9;650
2,42;20717,4;21932,5;650
2,43;20736;21924,5;650
2,44;20756,9;21897;650
2,45;20775;21877,6;650
2,46;20797,1;21873,5;650
2,47;20823,4;21841;650
2,48;20849,5;21811,5;650
2,49;20876,1;21808,6;650
2,5;20886,9;21773;650
2,51;20914,1;21731,6;650
2,52;20941,1;21711,5;650
2,53;20968,8;21706,1;650
2,54;20997;21680;650
2,55;21025,2;21676,2;650
2,56;21047;21654,8;650
2,57;21087,5;21564,4;650
2,58;21123,5;21628,3;650
2,59;21135;21545,4;650
2,6;21180,3;21543,5;650
2,61;21220,5;21534,1;650
2,62;21238,3;21474,5;650
2,63;21274,3;21491;650
2,64;21330,6;21450,3;650
2,65;21337,8;21388,1;650
2,66;21400,4;21397,6;650
2,67;21413;21383;650
2,68;21454,2;21380,9;650
2,69;21487,1;21335,5;650
2,7;21535,1;21303,4;650
2,71;21593,5;21276,4;650
2,72;21630,5;21263,6;650
2,73;21653,1;21255,4;650
2,74;21709,2;21249,7;650
2,75;21734,2;21207,3;650
2,76;21787,7;21196,3;650
2,77;21823;21162,4;650
2,78;21846,5;21150,4;650
2,79;21873,8;21121,4;650
2,8;21881,7;21101,1;650
2,81;21939;21086,2;650
2,82;21954;21063,4;650
2,83;21960,2;21040,6;650
2,84;21966,7;21026,9;650
2,85;21968,9;21009;650
2,86;21953,8;20955,4;650
2,87;22018,6;20975,7;650
2,88;21956,5;20927;650
2,89;22012,5;20934,4;650
2,9;21850,1;20935,2;650
2,91;21937,6;20840,8;650
2,92;21961,9;20878,9;650
